,mat_id,composition
593,mp-1097653,Cr1Ga1Ru2
594,mp-1097638,Ca1La1Pb2
595,mp-1097147,Mg1Be2Os1
596,mp-1093704,Na1Tl2Sn1
597,mp-1097518,Ta1Cr2Re1
598,mp-1096687,Na1Pb1Au2
599,mp-1097276,La1Ag2Au1
600,mp-1096370,Li1Ge2Ir1
601,mp-1093545,Tl1Ag1Pd2
602,mp-1097116,Ca2Zn1Pd1
603,mp-1097130,Ti1V1W2
604,mp-1097082,Hf1Zr1Rh2
605,mp-1096465,Sr2Cd1Ag1
606,mp-1096360,Na1Sr2Mg1
607,mp-1097312,Zr2Tc1Ir1
608,mp-1093659,Ca2Al1Tl1
609,mp-1093696,Ca2Mg1Al1
610,mp-1095930,Al1Si1Tc2
611,mp-1095725,In1Hg1Pb2
612,mp-1093866,Ta2Re1Pd1
613,mp-1093744,Sc1Ag2Sn1
614,mp-1096201,Mg2Cd1Ir1
615,mp-1097544,Be1Ga1Pd2
616,mp-1096733,Li2In1Bi1
617,mp-1097634,Nb1Fe1Tc2
618,mp-1097552,La1Sc1Tl2
619,mp-1096727,Ba2Li1Mg1
620,mp-1096706,Sr2Pd1Au1
621,mp-1096351,Nb1V1Re2
622,mp-1096541,Li1Sc2Pd1
623,mp-1097327,Y1Sb1Rh2
624,mp-1097538,Zr2Pd1Au1
625,mvc-13729,Bi2N2
626,mvc-13729,Bi2N2
627,mp-1057273,Pb2
628,mp-1057273,Pb2
629,mp-1066771,Zr2Si2
630,mp-1094336,Sr1Mg1
631,mp-1008223,Ca1Se1
632,mp-1009458,Nb1C1
633,mp-1002184,Tc1B1
634,mp-1700,Al1N1
635,mp-1007778,Tl1N1
636,mp-1009491,Rb1Te1
637,mp-1550,Al1P1
638,mp-866291,Ag1Br1
639,mp-2293,Mn1Se1
640,mp-980940,Ti3N1
641,mp-1184910,K3Ba1
642,mp-1186990,Sc1Pb3
643,mp-1184710,Ho3As1
644,mp-862714,Be3Ir1
645,mp-2614,Hf1Al3
646,mp-1183720,Cd1Sn3
647,mp-1187805,Y3Sn1
648,mp-1094312,Zr1Sn3
649,mp-977057,Np1As3
650,mp-1183650,Cd1Hg3
651,mp-977230,Li3Tc1
652,mp-981383,Sc1Sn3
653,mp-971934,Zn3In1
654,mp-1281,V1Ir1
655,mp-974368,Rh3Pb1
656,mp-1184793,Hf1Np3
657,mp-1184916,K3Mn1
658,mp-1183658,Cd3Bi1
659,mp-2313,Mg1In1
660,mp-1094567,Li1Mg3
661,mp-1185063,K1Pm3
662,mp-1215236,Zr1Ti1
663,mp-1187668,U3Ge1
664,mp-1185117,La3Nb1
665,mp-1225224,Fe3Si2Ni3
666,mp-971633,Na2Fe2O4
667,mp-3744,Na2Nb2O4
668,mp-20584,Rb1Eu1S2
669,mp-2059,Nb2As2
670,mp-7015,Cs1Ce1S2
671,mp-10778,Rb1Pr1Se2
672,mp-3332,Na1Cr1Se2
673,mp-558762,K1Sn1S2
674,mp-3535,Rb1Ce1S2
675,mp-999120,Tc2B2
676,mp-1206637,Li1V1Se2
677,mp-20042,Tl2In2S4
678,mp-1001604,Lu1Tl1S2
679,mp-22936,Ca2N1Cl1
680,mp-2634,Nb1N1
681,mp-1218383,Sr4Br1N2Cl1
682,mp-1218106,Ta3Mn1N4
683,mp-676985,Yb2Pa2O8
684,mp-676985,Yb2Pa2O8
685,mvc-13985,Sn2F8
686,mp-20619,Sb4Rh4
687,mp-22270,Co4P4
688,mp-1226133,Co1Mo4N5
689,mp-22079,As4Rh4
690,mp-15650,As4Ru4
691,mp-1221780,Mn3Fe1As4
692,mp-753946,Li1Co1S2
693,mp-555170,B12S1
694,mp-867202,Sr4
695,mp-1409,Ti4Ni12
696,mp-1188129,Zr4Pt12
697,mp-1105911,Ti4Pd12
698,mp-8566,Ag4
699,mp-30841,U4Pd12
700,mp-30841,U4Pd12
701,mp-1187761,Xe4
702,mp-976411,Li4
703,mp-1067880,Ga4
704,mp-1067880,Ga4
705,mp-999498,N4
706,mp-1096941,Cu1S1
707,mp-999498,N4
708,mp-558312,Li4O4
709,mp-1008471,Cd2Te2
710,mp-1105839,Sm2Co8B8
711,mp-676089,Fe2Co1Se4
712,mp-557835,Tl2F2
713,mp-1221834,Mn1Cr3Te4
714,mp-10204,Mn2Se2
715,mp-849065,V2S2
716,mp-1221754,Mn1Co1Se2
717,mp-38006,Ni2Sb1Te1
718,mp-1224903,Fe1Ni1S2
719,mp-29131,V2Se2
720,mp-1221333,Mn1Ni1Sb2
721,mp-1225146,Fe4Sn4Pt4
722,mp-1224966,Fe1Co1Se2
723,mp-426,Co2Se2
724,mp-1218018,Ta4Ga2Ni6
725,mp-1207954,U4Mn6Si2
726,mp-1216307,V4Si4Ni4
727,mp-1225366,Dy2Fe1Co3
728,mp-1220599,Nb4V4Ni4
729,mp-670,Nb2Co4
730,mp-1184321,Eu2Mg4
731,mp-1102035,Sm4Re8
732,mp-16331,Er2S4
733,mp-1215286,Zr4Mn4Fe4
734,mp-1215560,Zr3Nb1Zn8
735,mp-10366,Nb4Co6Si2
736,mp-1215318,Zr2Al2Cu2
737,mp-537,Er2Co4
738,mp-570960,Hf4Os8
739,mp-1215175,Zr1Ti1W4
740,mp-1077750,Yb1Cu4Pd1
741,mp-1038,Mg2Cu4
742,mp-568315,Cd8Cu16
743,mp-1216725,U1Pt2Au3
744,mp-1226844,Ce4Mn6Al2
745,mp-1388,Dy2Rh4
746,mp-1224182,Hf1Ti1W4
747,mp-1071890,Nd1In1Pt4
748,mp-1190681,Zr8Fe16
749,mp-1665,Yb2Fe4
750,mp-1225288,Dy2Al3Cu1
751,mp-1215217,Zr1Nb1Cr4
752,mp-1219827,Pu4Al4Fe4
753,mp-1215957,Y2Co2Ni2
754,mp-1216016,Zr6V4Ni8
755,mp-2674,Y2Pt4
756,mp-1226460,Co6P2W4
757,mp-1224426,Hf4Al4Ir4
758,mp-1206371,Nb2H2
759,mp-1073728,Mg2Si2
760,mp-362,Ni3S2
